farmer_id,balance,last_topup,avg_monthly_spend,credit_score
191,28600,2025-01-29,8500,752
192,51900,2025-02-06,12300,820
193,27600,2025-01-28,8300,749
194,28900,2025-01-30,8600,755
195,30400,2025-01-31,9000,761
196,33600,2025-02-01,9400,767
197,28100,2025-01-29,8400,750
198,54800,2025-02-07,12800,828
199,29300,2025-01-30,8700,756
200,30100,2025-01-31,8900,760
201,31200,2025-02-01,9100,763
202,28900,2025-01-30,8600,755
203,33600,2025-02-01,9400,767
204,27600,2025-01-28,8300,749
205,52400,2025-02-06,12400,821
206,28100,2025-01-29,8400,750
207,29300,2025-01-30,8700,756
208,30100,2025-01-31,8900,760
209,32800,2025-02-01,9400,767
210,28600,2025-01-29,8500,752
211,53600,2025-02-07,12700,825
212,28900,2025-01-30,8600,755
213,30400,2025-01-31,9000,761
214,31900,2025-02-01,9100,763
215,27400,2025-01-29,8300,749
216,52900,2025-02-07,12500,823
217,28100,2025-01-29,8400,750
218,29300,2025-01-30,8700,756
219,30100,2025-01-31,8900,760
220,33600,2025-02-01,9400,767
221,28600,2025-01-29,8500,752
222,54800,2025-02-07,12800,828
223,28900,2025-01-30,8600,755
224,30400,2025-01-31,9000,761
225,31900,2025-02-01,9100,763
226,27400,2025-01-29,8300,749
227,53600,2025-02-07,12700,825
228,28100,2025-01-29,8400,750
229,29300,2025-01-30,8700,756
230,30100,2025-01-31,8900,760
231,33600,2025-02-01,9400,767
232,28600,2025-01-29,8500,752
233,52400,2025-02-06,12400,821
234,28900,2025-01-30,8600,755
235,30400,2025-01-31,9000,761
236,31900,2025-02-01,9100,763
237,27400,2025-01-29,8300,749
238,52900,2025-02-07,12500,823
239,28100,2025-01-29,8400,750
240,29300,2025-01-30,8700,756
241,30100,2025-01-31,8900,760
242,33600,2025-02-01,9400,767
243,28600,2025-01-29,8500,752
244,54800,2025-02-07,12800,828
245,28900,2025-01-30,8600,755
246,30400,2025-01-31,9000,761
247,31900,2025-02-01,9100,763
248,27400,2025-01-29,8300,749
249,53600,2025-02-07,12700,825
250,28100,2025-01-29,8400,750
251,29300,2025-01-30,8700,756
252,30100,2025-01-31,8900,760
253,33600,2025-02-01,9400,767
254,28600,2025-01-29,8500,752
255,52400,2025-02-06,12400,821
256,28900,2025-01-30,8600,755
257,30400,2025-01-31,9000,761
258,31900,2025-02-01,9100,763
259,27400,2025-01-29,8300,749
260,52900,2025-02-07,12500,823
261,28100,2025-01-29,8400,750
262,29300,2025-01-30,8700,756
263,30100,2025-01-31,8900,760
264,33600,2025-02-01,9400,767
265,28600,2025-01-29,8500,752
266,54800,2025-02-07,12800,828
267,28900,2025-01-30,8600,755
268,30400,2025-01-31,9000,761
269,31900,2025-02-01,9100,763
270,27400,2025-01-29,8300,749
271,53600,2025-02-07,12700,825
272,28100,2025-01-29,8400,750
273,29300,2025-01-30,8700,756
274,30100,2025-01-31,8900,760
275,33600,2025-02-01,9400,767
276,28600,2025-01-29,8500,752
277,52400,2025-02-06,12400,821
278,28900,2025-01-30,8600,755
279,30400,2025-01-31,9000,761
280,31900,2025-02-01,9100,763
281,27400,2025-01-29,8300,749
282,52900,2025-02-07,12500,823
283,28100,2025-01-29,8400,750
284,29300,2025-01-30,8700,756
285,30100,2025-01-31,8900,760
286,33600,2025-02-01,9400,767
287,28600,2025-01-29,8500,752
288,54800,2025-02-07,12800,828
289,28900,2025-01-30,8600,755
290,30400,2025-01-31,9000,761
291,31900,2025-02-01,9100,763
292,27400,2025-01-29,8300,749
293,53600,2025-02-07,12700,825
294,28100,2025-01-29,8400,750
295,29300,2025-01-30,8700,756
296,30100,2025-01-31,8900,760
297,33600,2025-02-01,9400,767
298,28600,2025-01-29,8500,752
299,52400,2025-02-06,12400,821
300,28900,2025-01-30,8600,755
