Date,Crop,Mandi,Modal_Price
2024-05-29,Onion,Pune,3371
2024-05-30,Onion,Pune,3392
2024-05-31,Onion,Pune,3413
2024-06-01,Onion,Pune,3417
2024-06-02,Onion,Pune,3435
2024-06-03,Onion,Pune,3422
2024-06-04,Onion,Pune,3441
2024-06-05,Onion,Pune,3447
2024-06-06,Onion,Pune,3455
2024-06-07,Onion,Pune,3437
2024-06-08,Onion,Pune,3441
2024-06-09,Onion,Pune,3445
2024-06-10,Onion,Pune,3446
2024-06-11,Onion,Pune,3437
2024-06-12,Onion,Pune,3420
2024-06-13,Onion,Pune,3413
2024-06-14,Onion,Pune,3404
2024-06-15,Onion,Pune,3418
2024-06-16,Onion,Pune,3404
2024-06-17,Onion,Pune,3404
2024-06-18,Onion,Pune,3428
2024-06-19,Onion,Pune,3453
2024-06-20,Onion,Pune,3435
2024-06-21,Onion,Pune,3449
2024-06-22,Onion,Pune,3440
2024-06-23,Onion,Pune,3465
2024-06-24,Onion,Pune,3451
2024-06-25,Onion,Pune,3476
2024-06-26,Onion,Pune,3478
2024-06-27,Onion,Pune,3501
2024-06-28,Onion,Pune,3496
2024-06-29,Onion,Pune,3489
2024-06-30,Onion,Pune,3499
2024-07-01,Onion,Pune,3484
2024-07-02,Onion,Pune,3500
2024-07-03,Onion,Pune,3508
2024-07-04,Onion,Pune,3523
2024-07-05,Onion,Pune,3523
2024-07-06,Onion,Pune,3519
2024-07-07,Onion,Pune,3540
2024-07-08,Onion,Pune,3530
2024-07-09,Onion,Pune,3525
2024-07-10,Onion,Pune,3539
2024-07-11,Onion,Pune,3545
2024-07-12,Onion,Pune,3541
2024-07-13,Onion,Pune,3552
2024-07-14,Onion,Pune,3566
2024-07-15,Onion,Pune,3566
2024-07-16,Onion,Pune,3558
2024-07-17,Onion,Pune,3553
2024-07-18,Onion,Pune,3551
2024-07-19,Onion,Pune,3558
2024-07-20,Onion,Pune,3566
2024-07-21,Onion,Pune,3562
2024-07-22,Onion,Pune,3568
2024-07-23,Onion,Pune,3592
2024-07-24,Onion,Pune,3577
2024-07-25,Onion,Pune,3582
2024-07-26,Onion,Pune,3579
2024-07-27,Onion,Pune,3569
2024-07-28,Onion,Pune,3594
2024-07-29,Onion,Pune,3604
2024-07-30,Onion,Pune,3609
2024-07-31,Onion,Pune,3633
2024-08-01,Onion,Pune,3642
2024-08-02,Onion,Pune,3630
2024-08-03,Onion,Pune,3616
2024-08-04,Onion,Pune,3640
2024-08-05,Onion,Pune,3639
2024-08-06,Onion,Pune,3655
2024-08-07,Onion,Pune,3662
2024-08-08,Onion,Pune,3664
2024-08-09,Onion,Pune,3679
2024-08-10,Onion,Pune,3700
2024-08-11,Onion,Pune,3685
2024-08-12,Onion,Pune,3677
2024-08-13,Onion,Pune,3658
2024-08-14,Onion,Pune,3646
2024-08-15,Onion,Pune,3660
2024-08-16,Onion,Pune,3657
2024-08-17,Onion,Pune,3651
2024-08-18,Onion,Pune,3639
2024-08-19,Onion,Pune,3627
2024-08-20,Onion,Pune,3618
2024-08-21,Onion,Pune,3623
2024-08-22,Onion,Pune,3635
2024-08-23,Onion,Pune,3637
2024-08-24,Onion,Pune,3651
2024-08-25,Onion,Pune,3637
2024-08-26,Onion,Pune,3642
2024-08-27,Onion,Pune,3657
2024-08-28,Onion,Pune,3652
2024-08-29,Onion,Pune,3676
2024-08-30,Onion,Pune,3663
2024-08-31,Onion,Pune,3644
2024-09-01,Onion,Pune,3643
2024-09-02,Onion,Pune,3645
2024-09-03,Onion,Pune,3650
2024-09-04,Onion,Pune,3646
2024-09-05,Onion,Pune,3668
2024-09-06,Onion,Pune,3672
2024-09-07,Onion,Pune,3666
2024-09-08,Onion,Pune,3691
2024-09-09,Onion,Pune,3671
2024-09-10,Onion,Pune,3654
2024-09-11,Onion,Pune,3655
2024-09-12,Onion,Pune,3651
2024-09-13,Onion,Pune,3639
2024-09-14,Onion,Pune,3623
2024-09-15,Onion,Pune,3619
2024-09-16,Onion,Pune,3634
2024-09-17,Onion,Pune,3642
2024-09-18,Onion,Pune,3634
2024-09-19,Onion,Pune,3640
2024-09-20,Onion,Pune,3624
2024-09-21,Onion,Pune,3635
2024-09-22,Onion,Pune,3632
2024-09-23,Onion,Pune,3639
2024-09-24,Onion,Pune,3648
2024-09-25,Onion,Pune,3635
2024-09-26,Onion,Pune,3645
2024-09-27,Onion,Pune,3637
2024-09-28,Onion,Pune,3652
2024-09-29,Onion,Pune,3650
2024-09-30,Onion,Pune,3639
2024-10-01,Onion,Pune,3652
2024-10-02,Onion,Pune,3652
2024-10-03,Onion,Pune,3664
2024-10-04,Onion,Pune,3688
2024-10-05,Onion,Pune,3685
2024-10-06,Onion,Pune,3670
2024-10-07,Onion,Pune,3664
2024-10-08,Onion,Pune,3673
2024-10-09,Onion,Pune,3681
2024-10-10,Onion,Pune,3699
2024-10-11,Onion,Pune,3701
2024-10-12,Onion,Pune,3726
2024-10-13,Onion,Pune,3716
2024-10-14,Onion,Pune,3703
2024-10-15,Onion,Pune,3685
2024-10-16,Onion,Pune,3706
2024-10-17,Onion,Pune,3708
2024-10-18,Onion,Pune,3720
2024-10-19,Onion,Pune,3735
2024-10-20,Onion,Pune,3731
2024-10-21,Onion,Pune,3729
2024-10-22,Onion,Pune,3730
2024-10-23,Onion,Pune,3746
2024-10-24,Onion,Pune,3749
2024-10-25,Onion,Pune,3743
2024-10-26,Onion,Pune,3761
2024-10-27,Onion,Pune,3784
2024-10-28,Onion,Pune,3790
2024-10-29,Onion,Pune,3815
2024-10-30,Onion,Pune,3813
2024-10-31,Onion,Pune,3800
2024-11-01,Onion,Pune,3806
2024-11-02,Onion,Pune,3812
2024-11-03,Onion,Pune,3824
2024-11-04,Onion,Pune,3849
2024-11-05,Onion,Pune,3832
2024-11-06,Onion,Pune,3817
2024-11-07,Onion,Pune,3808
2024-11-08,Onion,Pune,3788
2024-11-09,Onion,Pune,3801
2024-11-10,Onion,Pune,3816
2024-11-11,Onion,Pune,3808
2024-11-12,Onion,Pune,3792
2024-11-13,Onion,Pune,3805
2024-11-14,Onion,Pune,3799
2024-11-15,Onion,Pune,3779
2024-11-16,Onion,Pune,3794
2024-11-17,Onion,Pune,3809
2024-11-18,Onion,Pune,3817
2024-11-19,Onion,Pune,3841
2024-11-20,Onion,Pune,3850
2024-11-21,Onion,Pune,3859
2024-11-22,Onion,Pune,3884
2024-11-23,Onion,Pune,3868
2024-11-24,Onion,Pune,3878
2024-11-25,Onion,Pune,3859
2024-11-26,Onion,Pune,3870
2024-11-27,Onion,Pune,3886
2024-11-28,Onion,Pune,3899
2024-11-29,Onion,Pune,3895
2024-11-30,Onion,Pune,3903
2024-12-01,Onion,Pune,3896
2024-12-02,Onion,Pune,3919
2024-12-03,Onion,Pune,3932
2024-12-04,Onion,Pune,3955
2024-12-05,Onion,Pune,3969
2024-12-06,Onion,Pune,3956
2024-12-07,Onion,Pune,3973
2024-12-08,Onion,Pune,3981
2024-12-09,Onion,Pune,3984
2024-12-10,Onion,Pune,3967
2024-12-11,Onion,Pune,3972
2024-12-12,Onion,Pune,3965
2024-12-13,Onion,Pune,3947
2024-12-14,Onion,Pune,3945
2024-12-15,Onion,Pune,3955
2024-12-16,Onion,Pune,3973
2024-12-17,Onion,Pune,3954
2024-12-18,Onion,Pune,3937
2024-12-19,Onion,Pune,3957
2024-12-20,Onion,Pune,3976
2024-12-21,Onion,Pune,3979
2024-12-22,Onion,Pune,3961
2024-12-23,Onion,Pune,3948
2024-12-24,Onion,Pune,3970
2024-12-25,Onion,Pune,3960
2024-12-26,Onion,Pune,3960
2024-12-27,Onion,Pune,3968
2024-12-28,Onion,Pune,3952
2024-12-29,Onion,Pune,3934
2024-12-30,Onion,Pune,3919
2024-12-31,Onion,Pune,3903
2025-01-01,Onion,Pune,3920
2025-01-02,Onion,Pune,3937
2025-01-03,Onion,Pune,3950
2025-01-04,Onion,Pune,3935
2025-01-05,Onion,Pune,3943
2025-01-06,Onion,Pune,3935
2025-01-07,Onion,Pune,3940
2025-01-08,Onion,Pune,3953
2025-01-09,Onion,Pune,3957
2025-01-10,Onion,Pune,3973
2025-01-11,Onion,Pune,3988
2025-01-12,Onion,Pune,3992
2025-01-13,Onion,Pune,3975
2025-01-14,Onion,Pune,3988
2025-01-15,Onion,Pune,4012
2025-01-16,Onion,Pune,4011
2025-01-17,Onion,Pune,3994
2025-01-18,Onion,Pune,4016
2025-01-19,Onion,Pune,4023
2025-01-20,Onion,Pune,4042
2025-01-21,Onion,Pune,4051
2025-01-22,Onion,Pune,4067
2025-01-23,Onion,Pune,4057
2025-01-24,Onion,Pune,4081
2025-01-25,Onion,Pune,4072
2025-01-26,Onion,Pune,4095
2025-01-27,Onion,Pune,4077
2025-01-28,Onion,Pune,4068
2025-01-29,Onion,Pune,4093
2025-01-30,Onion,Pune,4112
2025-01-31,Onion,Pune,4105
2025-02-01,Onion,Pune,4088
2025-02-02,Onion,Pune,4069
2025-02-03,Onion,Pune,4085
2025-02-04,Onion,Pune,4105
2025-02-05,Onion,Pune,4085
2025-02-06,Onion,Pune,4100
2025-02-07,Onion,Pune,4081
2025-02-08,Onion,Pune,4066
2025-02-09,Onion,Pune,4072
2025-02-10,Onion,Pune,4084
2025-02-11,Onion,Pune,4073
2025-02-12,Onion,Pune,4089
2025-02-13,Onion,Pune,4106
2025-02-14,Onion,Pune,4114
2025-02-15,Onion,Pune,4136
2025-02-16,Onion,Pune,4142
2025-02-17,Onion,Pune,4149
2025-02-18,Onion,Pune,4166
2025-02-19,Onion,Pune,4159
2025-02-20,Onion,Pune,4146
2025-02-21,Onion,Pune,4137
2025-02-22,Onion,Pune,4125
2025-02-23,Onion,Pune,4114
2025-02-24,Onion,Pune,4135
2025-02-25,Onion,Pune,4154
2025-02-26,Onion,Pune,4145
2025-02-27,Onion,Pune,4152
2025-02-28,Onion,Pune,4167
2025-03-01,Onion,Pune,4179
2025-03-02,Onion,Pune,4190
2025-03-03,Onion,Pune,4184
2025-03-04,Onion,Pune,4185
2025-03-05,Onion,Pune,4196
2025-03-06,Onion,Pune,4201
2025-03-07,Onion,Pune,4200
2025-03-08,Onion,Pune,4211
2025-03-09,Onion,Pune,4217
2025-03-10,Onion,Pune,4210
2025-03-11,Onion,Pune,4203
2025-03-12,Onion,Pune,4204
2025-03-13,Onion,Pune,4195
2025-03-14,Onion,Pune,4175
2025-03-15,Onion,Pune,4157
2025-03-16,Onion,Pune,4161
2025-03-17,Onion,Pune,4179
2025-03-18,Onion,Pune,4186
2025-03-19,Onion,Pune,4175
2025-03-20,Onion,Pune,4158
2025-03-21,Onion,Pune,4161
2025-03-22,Onion,Pune,4176
2025-03-23,Onion,Pune,4164
2025-03-24,Onion,Pune,4173
2025-03-25,Onion,Pune,4170
2025-03-26,Onion,Pune,4154
2025-03-27,Onion,Pune,4169
2025-03-28,Onion,Pune,4174
2025-03-29,Onion,Pune,4174
2025-03-30,Onion,Pune,4182
2025-03-31,Onion,Pune,4203
2025-04-01,Onion,Pune,4211
2025-04-02,Onion,Pune,4199
2025-04-03,Onion,Pune,4210
2025-04-04,Onion,Pune,4211
2025-04-05,Onion,Pune,4218
2025-04-06,Onion,Pune,4215
2025-04-07,Onion,Pune,4224
2025-04-08,Onion,Pune,4224
2025-04-09,Onion,Pune,4215
2025-04-10,Onion,Pune,4234
2025-04-11,Onion,Pune,4226
2025-04-12,Onion,Pune,4210
2025-04-13,Onion,Pune,4233
2025-04-14,Onion,Pune,4237
2025-04-15,Onion,Pune,4220
2025-04-16,Onion,Pune,4235
2025-04-17,Onion,Pune,4226
2025-04-18,Onion,Pune,4245
2025-04-19,Onion,Pune,4268
2025-04-20,Onion,Pune,4288
2025-04-21,Onion,Pune,4310
2025-04-22,Onion,Pune,4292
2025-04-23,Onion,Pune,4302
2025-04-24,Onion,Pune,4283
2025-04-25,Onion,Pune,4278
2025-04-26,Onion,Pune,4273
2025-04-27,Onion,Pune,4291
2025-04-28,Onion,Pune,4292
2025-04-29,Onion,Pune,4290
2025-04-30,Onion,Pune,4305
2025-05-01,Onion,Pune,4329
2025-05-02,Onion,Pune,4312
2025-05-03,Onion,Pune,4306
2025-05-04,Onion,Pune,4328
2025-05-05,Onion,Pune,4347
2025-05-06,Onion,Pune,4347
2025-05-07,Onion,Pune,4364
2025-05-08,Onion,Pune,4388
2025-05-09,Onion,Pune,4386
2025-05-10,Onion,Pune,4385
2025-05-11,Onion,Pune,4399
2025-05-12,Onion,Pune,4388
2025-05-13,Onion,Pune,4387
2025-05-14,Onion,Pune,4397
2025-05-15,Onion,Pune,4415
2025-05-16,Onion,Pune,4405
2025-05-17,Onion,Pune,4406
2025-05-18,Onion,Pune,4393
2025-05-19,Onion,Pune,4395
2025-05-20,Onion,Pune,4384
2025-05-21,Onion,Pune,4392
2025-05-22,Onion,Pune,4392
2025-05-23,Onion,Pune,4378
2025-05-24,Onion,Pune,4396
2025-05-25,Onion,Pune,4386
2025-05-26,Onion,Pune,4390
2025-05-27,Onion,Pune,4373
2025-05-28,Onion,Pune,4394
2025-05-29,Onion,Pune,4381
2025-05-30,Onion,Pune,4401
2025-05-31,Onion,Pune,4411
2025-06-01,Onion,Pune,4435
2025-06-02,Onion,Pune,4430
2025-06-03,Onion,Pune,4415
2025-06-04,Onion,Pune,4422
2025-06-05,Onion,Pune,4443
2025-06-06,Onion,Pune,4437
2025-06-07,Onion,Pune,4433
2025-06-08,Onion,Pune,4428
2025-06-09,Onion,Pune,4418
2025-06-10,Onion,Pune,4404
2025-06-11,Onion,Pune,4423
2025-06-12,Onion,Pune,4441
2025-06-13,Onion,Pune,4426
2025-06-14,Onion,Pune,4440
2025-06-15,Onion,Pune,4426
2025-06-16,Onion,Pune,4445
2025-06-17,Onion,Pune,4460
2025-06-18,Onion,Pune,4441
2025-06-19,Onion,Pune,4434
2025-06-20,Onion,Pune,4435
2025-06-21,Onion,Pune,4458
2025-06-22,Onion,Pune,4448
2025-06-23,Onion,Pune,4464
2025-06-24,Onion,Pune,4458
2025-06-25,Onion,Pune,4465
2025-06-26,Onion,Pune,4455
2025-06-27,Onion,Pune,4457
2025-06-28,Onion,Pune,4479
2025-06-29,Onion,Pune,4469
2025-06-30,Onion,Pune,4475
2025-07-01,Onion,Pune,4484
2025-07-02,Onion,Pune,4482
2025-07-03,Onion,Pune,4497
2025-07-04,Onion,Pune,4500
2025-07-05,Onion,Pune,4490
2025-07-06,Onion,Pune,4470
2025-07-07,Onion,Pune,4453
2025-07-08,Onion,Pune,4443
2025-07-09,Onion,Pune,4425
2025-07-10,Onion,Pune,4413
2025-07-11,Onion,Pune,4416
2025-07-12,Onion,Pune,4407
2025-07-13,Onion,Pune,4412
2025-07-14,Onion,Pune,4411
2025-07-15,Onion,Pune,4402
2025-07-16,Onion,Pune,4390
2025-07-17,Onion,Pune,4390
2025-07-18,Onion,Pune,4411
2025-07-19,Onion,Pune,4433
2025-07-20,Onion,Pune,4414
2025-07-21,Onion,Pune,4414
2025-07-22,Onion,Pune,4427
2025-07-23,Onion,Pune,4451
2025-07-24,Onion,Pune,4469
2025-07-25,Onion,Pune,4492
2025-07-26,Onion,Pune,4502
2025-07-27,Onion,Pune,4516
2025-07-28,Onion,Pune,4530
2025-07-29,Onion,Pune,4526
2025-07-30,Onion,Pune,4536
2025-07-31,Onion,Pune,4544
2025-08-01,Onion,Pune,4534
2025-08-02,Onion,Pune,4546
2025-08-03,Onion,Pune,4546
2025-08-04,Onion,Pune,4559
2025-08-05,Onion,Pune,4546
2025-08-06,Onion,Pune,4566
2025-08-07,Onion,Pune,4575
2025-08-08,Onion,Pune,4587
2025-08-09,Onion,Pune,4594
2025-08-10,Onion,Pune,4597
2025-08-11,Onion,Pune,4581
2025-08-12,Onion,Pune,4592
2025-08-13,Onion,Pune,4592
2025-08-14,Onion,Pune,4586
2025-08-15,Onion,Pune,4593
2025-08-16,Onion,Pune,4609
2025-08-17,Onion,Pune,4595
2025-08-18,Onion,Pune,4619
2025-08-19,Onion,Pune,4634
2025-08-20,Onion,Pune,4647
2025-08-21,Onion,Pune,4635
2025-08-22,Onion,Pune,4617
2025-08-23,Onion,Pune,4615
2025-08-24,Onion,Pune,4605
2025-08-25,Onion,Pune,4619
2025-08-26,Onion,Pune,4607
2025-08-27,Onion,Pune,4627
2025-08-28,Onion,Pune,4626
2025-08-29,Onion,Pune,4623
2025-08-30,Onion,Pune,4603
2025-08-31,Onion,Pune,4587
2025-09-01,Onion,Pune,4592
2025-09-02,Onion,Pune,4594
2025-09-03,Onion,Pune,4579
2025-09-04,Onion,Pune,4561
2025-09-05,Onion,Pune,4548
2025-09-06,Onion,Pune,4545
2025-09-07,Onion,Pune,4553
2025-09-08,Onion,Pune,4536
2025-09-09,Onion,Pune,4531
2025-09-10,Onion,Pune,4535
2025-09-11,Onion,Pune,4537
2025-09-12,Onion,Pune,4546
2025-09-13,Onion,Pune,4562
2025-09-14,Onion,Pune,4585
2025-09-15,Onion,Pune,4594
2025-09-16,Onion,Pune,4602
2025-09-17,Onion,Pune,4623
2025-09-18,Onion,Pune,4618
2025-09-19,Onion,Pune,4624
2025-09-20,Onion,Pune,4618
2025-09-21,Onion,Pune,4599
2025-09-22,Onion,Pune,4612
2025-09-23,Onion,Pune,4606
2025-09-24,Onion,Pune,4602
2025-09-25,Onion,Pune,4612
2025-09-26,Onion,Pune,4608
2025-09-27,Onion,Pune,4616
2025-09-28,Onion,Pune,4621
2025-09-29,Onion,Pune,4637
2025-09-30,Onion,Pune,4624
2025-10-01,Onion,Pune,4631
2025-10-02,Onion,Pune,4611
2025-10-03,Onion,Pune,4617
2025-10-04,Onion,Pune,4605
2025-10-05,Onion,Pune,4594
2025-10-06,Onion,Pune,4613
2025-10-07,Onion,Pune,4593
2025-10-08,Onion,Pune,4592
2025-10-09,Onion,Pune,4600
2025-10-10,Onion,Pune,4593
2025-10-11,Onion,Pune,4591
2025-10-12,Onion,Pune,4578
2025-10-13,Onion,Pune,4586
2025-10-14,Onion,Pune,4601
2025-10-15,Onion,Pune,4621
2025-10-16,Onion,Pune,4637
2025-10-17,Onion,Pune,4639
2025-10-18,Onion,Pune,4635
2025-10-19,Onion,Pune,4617
2025-10-20,Onion,Pune,4620
2025-10-21,Onion,Pune,4621
2025-10-22,Onion,Pune,4637
2025-10-23,Onion,Pune,4649
2025-10-24,Onion,Pune,4645
2025-10-25,Onion,Pune,4633
2025-10-26,Onion,Pune,4636
2025-10-27,Onion,Pune,4655
2025-10-28,Onion,Pune,4644
2025-10-29,Onion,Pune,4646
2025-10-30,Onion,Pune,4671
2025-10-31,Onion,Pune,4693
2025-11-01,Onion,Pune,4716
2025-11-02,Onion,Pune,4722
2025-11-03,Onion,Pune,4742
2025-11-04,Onion,Pune,4740
2025-11-05,Onion,Pune,4735
2025-11-06,Onion,Pune,4753
2025-11-07,Onion,Pune,4771
2025-11-08,Onion,Pune,4777
2025-11-09,Onion,Pune,4765
2025-11-10,Onion,Pune,4770
2025-11-11,Onion,Pune,4786
2025-11-12,Onion,Pune,4788
2025-11-13,Onion,Pune,4782
2025-11-14,Onion,Pune,4793
2025-11-15,Onion,Pune,4813
2025-11-16,Onion,Pune,4838
2025-11-17,Onion,Pune,4835
2025-11-18,Onion,Pune,4835
2025-11-19,Onion,Pune,4821
2025-11-20,Onion,Pune,4806
2025-11-21,Onion,Pune,4789
2025-11-22,Onion,Pune,4769
2025-11-23,Onion,Pune,4789
2025-11-24,Onion,Pune,4814
2025-11-25,Onion,Pune,4804
2025-11-26,Onion,Pune,4818
2025-11-27,Onion,Pune,4830
2025-11-28,Onion,Pune,4830
2025-11-29,Onion,Pune,4815
2025-11-30,Onion,Pune,4807
2025-12-01,Onion,Pune,4806
2025-12-02,Onion,Pune,4823
2025-12-03,Onion,Pune,4803
2025-12-04,Onion,Pune,4789
2025-12-05,Onion,Pune,4803
2025-12-06,Onion,Pune,4806
2025-12-07,Onion,Pune,4799
2025-12-08,Onion,Pune,4783
2025-12-09,Onion,Pune,4807
2025-12-10,Onion,Pune,4799
2025-12-11,Onion,Pune,4814
2025-12-12,Onion,Pune,4804
2025-12-13,Onion,Pune,4800
2025-12-14,Onion,Pune,4789
2025-12-15,Onion,Pune,4801
2025-12-16,Onion,Pune,4822
2025-12-17,Onion,Pune,4842
2025-12-18,Onion,Pune,4855
2025-12-19,Onion,Pune,4853
2025-12-20,Onion,Pune,4872
2025-12-21,Onion,Pune,4877
2025-12-22,Onion,Pune,4891
2025-12-23,Onion,Pune,4912
2025-12-24,Onion,Pune,4914
2025-12-25,Onion,Pune,4917
2025-12-26,Onion,Pune,4931
2025-12-27,Onion,Pune,4952
2025-12-28,Onion,Pune,4944
2025-12-29,Onion,Pune,4964
2025-12-30,Onion,Pune,4972
2025-12-31,Onion,Pune,4990
2024-01-01,Onion,Mumbai,2814
2024-01-02,Onion,Mumbai,2820
2024-01-03,Onion,Mumbai,2827
2024-01-04,Onion,Mumbai,2823
2024-01-05,Onion,Mumbai,2813
2024-01-06,Onion,Mumbai,2808
2024-01-07,Onion,Mumbai,2790
2024-01-08,Onion,Mumbai,2788
2024-01-09,Onion,Mumbai,2775
2024-01-10,Onion,Mumbai,2767
2024-01-11,Onion,Mumbai,2763
2024-01-12,Onion,Mumbai,2763
2024-01-13,Onion,Mumbai,2769
2024-01-14,Onion,Mumbai,2763
2024-01-15,Onion,Mumbai,2769
2024-01-16,Onion,Mumbai,2766
2024-01-17,Onion,Mumbai,2772
2024-01-18,Onion,Mumbai,2762
2024-01-19,Onion,Mumbai,2747
2024-01-20,Onion,Mumbai,2772
2024-01-21,Onion,Mumbai,2776
2024-01-22,Onion,Mumbai,2784
2024-01-23,Onion,Mumbai,2779
2024-01-24,Onion,Mumbai,2777
2024-01-25,Onion,Mumbai,2790
2024-01-26,Onion,Mumbai,2815
2024-01-27,Onion,Mumbai,2806
2024-01-28,Onion,Mumbai,2792
2024-01-29,Onion,Mumbai,2804
2024-01-30,Onion,Mumbai,2816
2024-01-31,Onion,Mumbai,2806
2024-02-01,Onion,Mumbai,2788
2024-02-02,Onion,Mumbai,2775
2024-02-03,Onion,Mumbai,2759
2024-02-04,Onion,Mumbai,2778
2024-02-05,Onion,Mumbai,2799
2024-02-06,Onion,Mumbai,2796
2024-02-07,Onion,Mumbai,2817
2024-02-08,Onion,Mumbai,2842
2024-02-09,Onion,Mumbai,2836
