booking_id,farmer_id,route_id,vehicle_id,quantity_tons,total_cost,co2_emitted,date
84,94,1,2,2.7,7060.0,342.9,2024-11-12
85,321,10,7,1.9,3548.0,123.9,2024-11-12
86,168,6,3,4.6,15477.0,689.1,2024-11-13
87,104,2,6,11.0,28820.0,1116.0,2024-11-13
88,257,13,4,3.0,10192.0,436.8,2024-11-14
89,379,15,5,9.7,27324.0,1167.8,2024-11-14
90,133,1,8,2.4,10368.0,288.0,2024-11-15
91,284,5,3,4.2,14516.0,643.8,2024-11-15
92,196,7,6,10.6,28104.0,1144.8,2024-11-16
93,86,4,5,8.3,23280.0,1015.2,2024-11-16
94,271,9,2,3.1,8122.0,393.4,2024-11-17
95,117,12,7,2.2,4135.0,145.2,2024-11-17
96,365,11,9,7.6,18384.0,516.8,2024-11-18
97,53,6,3,4.5,15147.0,673.2,2024-11-18
98,185,3,6,13.2,34632.0,1349.7,2024-11-19
99,112,14,8,4.3,9288.0,275.2,2024-11-19
100,400,5,3,4.0,13832.0,612.4,2024-11-20
101,118,7,6,10.4,27552.0,1123.2,2024-11-20
102,205,4,5,8.1,22708.0,999.0,2024-11-20
103,91,1,2,2.6,6800.0,329.8,2024-11-21
104,344,10,7,1.7,3162.0,118.9,2024-11-21
105,173,6,3,4.6,15477.0,689.1,2024-11-22
106,59,2,6,11.9,31248.0,1213.8,2024-11-22
107,227,13,4,3.1,10542.0,452.0,2024-11-23
108,390,15,5,9.2,25992.0,1102.4,2024-11-23
109,144,1,8,2.3,9954.0,276.7,2024-11-24
110,316,5,3,4.1,14172.0,628.5,2024-11-24
111,187,7,6,10.9,28836.0,1175.2,2024-11-25
112,73,4,5,8.4,23520.0,1027.2,2024-11-25
113,298,9,2,3.2,8384.0,405.8,2024-11-26
114,162,12,7,2.0,3758.0,132.0,2024-11-26
115,421,11,9,7.4,17856.0,501.6,2024-11-27
116,94,6,3,4.7,15806.0,703.4,2024-11-27
117,259,3,6,12.8,33504.0,1305.6,2024-11-28
118,135,14,8,4.0,8640.0,256.0,2024-11-28
119,362,5,3,3.8,13148.0,581.4,2024-11-29
120,204,7,5,7.3,20906.0,920.4,2024-11-29
121,88,1,2,2.7,7060.0,342.9,2024-11-30
122,311,10,7,1.9,3548.0,123.9,2024-11-30
123,176,6,3,4.8,16136.0,721.9,2024-12-01
124,97,2,6,11.2,29376.0,1139.5,2024-12-01
125,241,13,4,3.3,11214.0,481.6,2024-12-02
126,399,15,5,9.6,27036.0,1154.4,2024-12-02
127,52,1,8,2.4,10368.0,288.0,2024-12-03
128,287,5,3,4.4,15204.0,674.7,2024-12-03
129,164,7,6,11.0,29238.0,1188.0,2024-12-04
130,71,4,5,8.5,23868.0,1016.4,2024-12-04
131,318,9,2,3.4,8910.0,431.6,2024-12-05
132,190,12,7,2.1,3948.0,138.6,2024-12-05
133,456,11,9,7.6,18384.0,516.8,2024-12-06
134,109,6,3,4.5,15147.0,673.2,2024-12-06
135,267,3,6,13.1,34368.0,1336.2,2024-12-07
136,148,14,8,4.2,9072.0,268.8,2024-12-07
137,331,5,3,3.9,13494.0,597.6,2024-12-08
138,218,7,5,7.1,20340.0,903.6,2024-12-08
139,64,1,2,2.8,7320.0,354.2,2024-12-09
140,402,10,7,1.8,3339.0,123.9,2024-12-09
141,176,6,3,4.6,15477.0,689.1,2024-12-10
142,83,2,6,11.7,30696.0,1190.7,2024-12-10
143,295,13,4,3.4,11598.0,497.8,2024-12-11
144,361,15,5,9.4,26484.0,1126.8,2024-12-11
145,155,1,8,2.2,9504.0,264.0,2024-12-12
146,339,5,3,4.0,13832.0,612.4,2024-12-12
147,229,7,6,10.7,28392.0,1157.4,2024-12-13
148,98,4,5,8.6,24120.0,1028.8,2024-12-13
149,277,9,2,3.5,9142.0,443.8,2024-12-14
150,420,12,7,2.3,4323.0,151.8,2024-12-14
151,187,11,9,7.3,17688.0,497.1,2024-12-15
152,73,6,3,4.7,15806.0,703.4,2024-12-15
153,261,3,6,12.6,33048.0,1285.2,2024-12-16
154,140,14,8,4.1,8856.0,262.4,2024-12-16
155,309,5,3,3.6,12466.0,552.2,2024-12-17
156,195,7,5,6.9,19736.0,874.2,2024-12-17
157,102,1,2,2.5,6540.0,316.3,2024-12-18
158,368,10,7,1.9,3548.0,123.9,2024-12-18
159,176,6,3,4.8,16136.0,721.9,2024-12-19
160,89,2,6,11.1,29184.0,1133.4,2024-12-19
161,254,13,4,3.2,10870.0,466.2,2024-12-20
162,399,15,5,9.1,25656.0,1090.8,2024-12-20
163,67,1,8,2.3,9954.0,276.7,2024-12-21
164,341,5,3,4.2,14516.0,643.8,2024-12-21
165,216,7,6,10.8,28656.0,1166.4,2024-12-22
166,54,4,5,8.2,22992.0,1006.4,2024-12-22
167,289,9,2,3.4,8910.0,431.6,2024-12-23
168,410,12,7,2.0,3758.0,132.0,2024-12-23
169,176,11,9,7.5,18150.0,510.5,2024-12-24
170,91,6,3,4.5,15147.0,673.2,2024-12-24
171,333,3,6,13.0,34110.0,1329.9,2024-12-25
172,147,14,8,4.3,9288.0,275.2,2024-12-25
173,315,5,3,3.8,13148.0,581.4,2024-12-26
174,201,7,5,7.4,21124.0,933.6,2024-12-26
175,77,1,2,2.7,7060.0,342.9,2024-12-27
176,399,10,7,1.8,3339.0,123.9,2024-12-27
177,184,6,3,4.6,15477.0,689.1,2024-12-28
178,121,2,6,11.6,30432.0,1180.8,2024-12-28
179,268,13,4,3.3,11214.0,481.6,2024-12-29
180,350,15,5,9.3,26202.0,1114.3,2024-12-29
181,62,1,8,2.4,10368.0,288.0,2024-12-30
182,337,5,3,4.1,14172.0,628.5,2024-12-30
183,210,7,6,11.1,29496.0,1202.4,2024-12-31
184,98,4,5,8.3,23280.0,1015.2,2024-12-31
185,271,9,2,3.6,9420.0,456.0,2025-01-01
186,422,12,7,2.1,3948.0,138.6,2025-01-01
187,176,11,9,7.2,17424.0,489.6,2025-01-02
188,53,6,3,4.4,14796.0,660.6,2025-01-02
189,299,3,6,12.9,33840.0,1316.4,2025-01-03
190,144,14,8,4.0,8640.0,256.0,2025-01-03
191,321,5,3,3.7,12778.0,565.2,2025-01-04
192,206,7,5,7.0,20048.0,892.7,2025-01-04
193,94,1,2,2.6,6800.0,329.8,2025-01-05
194,365,10,7,1.9,3548.0,123.9,2025-01-05
195,168,6,3,4.7,15806.0,703.4,2025-01-06
196,109,2,6,11.3,29640.0,1149.6,2025-01-06
197,257,13,4,3.1,10542.0,452.0,2025-01-07
198,379,15,5,9.5,26733.0,1140.1,2025-01-07
199,133,1,8,2.3,9954.0,276.7,2025-01-08
200,400,5,3,4.0,13832.0,612.4,2025-01-08
201,1,19,95,0.5,397.0,26.47,2026-01-14
